Time	Lead II
12.2	-0.00716215
12.21	-0.0394442
12.22	-0.0135504
12.23	-0.0274345
12.24	-0.0333971
12.25	0.00199374
12.26	-0.0338457
12.27	-0.0116636
12.28	-0.0196675
12.29	-0.022873
12.3	0.000794587
12.31	-0.039943
12.32	-0.0732274
12.33	-0.0730226
12.34	-0.0632725
12.35	-0.0174799
12.36	-0.0576291
12.37	-0.0395981
12.38	-0.0330329
12.39	-0.0541835
12.4	-0.0283196
12.41	-0.0621781
12.42	-0.0370345
12.43	-0.0358284
12.44	-0.0584189
12.45	-0.0325762
12.46	-0.0648254
12.47	-0.0361527
12.48	-0.0248448
12.49	-0.0173649
12.5	0.029705
12.51	0.0184896
12.52	0.0567763
12.53	0.0413918
12.54	0.00608066
12.55	0.0224565
12.56	-0.0332325
12.57	-0.0377562
12.58	-0.0688758
12.59	-0.0917423
12.6	-0.0577527
12.61	-0.0960627
12.62	-0.0765955
12.63	-0.0784765
12.64	-0.0895183
12.65	-0.0197584
12.66	0.0841622
12.67	0.329947
12.68	0.411373
12.69	0.220318
12.7	0.0037068
12.71	-0.142744
12.72	-0.10259
12.73	-0.0655622
12.74	-0.0550028
12.75	-0.0221503
12.76	-0.0570146
12.77	-0.0282012
12.78	-0.0399467
12.79	-0.050878
12.8	-0.0142162
12.81	-0.0473213
12.82	-0.0219032
12.83	-0.0307292
12.84	-0.0427844
12.85	-0.00811993
12.86	-0.0255853
12.87	0.0225408
12.88	0.0349603
12.89	0.0439623
12.9	0.087801
12.91	0.0687679
12.92	0.107156
12.93	0.11036
12.94	0.101895
12.95	0.109612
12.96	0.0496297
12.97	0.0548918
12.98	0.0107344
12.99	-0.0354766
13	-0.0200875
13.01	-0.0560488
13.02	-0.0313723
13.03	-0.0521957
13.04	-0.0723315
13.05	-0.0403695
13.06	-0.068793
13.07	-0.0351546
13.08	-0.0379896
13.09	-0.050193
13.1	-0.0308649
13.11	-0.0595092
13.12	-0.0201373
13.13	-0.0302303
13.14	-0.0395697
13.15	-0.0185743
13.16	-0.0647606
13.17	-0.088649
13.18	-0.0841674
13.19	-0.0721514
13.2	-0.0228648
13.21	-0.0578462
13.22	-0.0394883
13.23	-0.0443399
13.24	-0.070392
13.25	-0.0414201
13.26	-0.0722732
13.27	-0.0498002
13.28	-0.0575212
13.29	-0.0734687
13.3	-0.0362098
13.31	-0.0711004
13.32	-0.04892
13.33	-0.0530968
13.34	-0.0640115
13.35	-0.016604
13.36	-0.0346853
13.37	0.00262336
13.38	0.0134981
13.39	0.00765383
13.4	0.0407325
13.41	0.0030465
13.42	0.0105469
13.43	-0.0176291
13.44	-0.0555591
13.45	-0.0479245
13.46	-0.103262
13.47	-0.0844598
13.48	-0.0869371
13.49	-0.09662
13.5	-0.0631176
13.51	-0.0984395
13.52	-0.0472721
13.53	0.0521789
13.54	0.251033
13.55	0.428341
13.56	0.278097
13.57	0.0441309
13.58	-0.128871
13.59	-0.15684
13.6	-0.0825241
13.61	-0.0797309
13.62	-0.0327583
13.63	-0.0362407
13.64	-0.0533135
13.65	-0.021812
13.66	-0.050726
13.67	-0.0268879
13.68	-0.0374093
13.69	-0.0405214
13.7	-0.00492647
13.71	-0.0321836
13.72	0.00334455
13.73	0.00140507
13.74	0.00451439
13.75	0.0485098
13.76	0.0321727
13.77	0.0772996
13.78	0.0854619
13.79	0.0942403
13.8	0.126659
13.81	0.0948105
13.82	0.123045
13.83	0.0985589
13.84	0.0589625
13.85	0.053912
13.86	-0.00348842
13.87	0.00364476
13.88	-0.022269
13.89	-0.0401625
13.9	-0.0223442
13.91	-0.0546213
13.92	-0.0192773
13.93	-0.030178
13.94	-0.0329638
13.95	-0.00366934
13.96	-0.0343291
13.97	9.93143e-05
13.98	-0.0089214
13.99	-0.01881
14	0.00677374
14.01	0.0201301
14.02	0.0455917
14.03	0.0172697
14.04	-0.0282169
14.05	-0.00763581
14.06	-0.0421084
14.07	-0.0204336
14.08	-0.0319837
14.09	-0.0529714
14.1	-0.0137395
14.11	-0.0445577
14.12	-0.0270739
14.13	-0.030582
14.14	-0.0405206
14.15	-0.0111957
14.16	-0.0491598
14.17	-0.0231298
14.18	-0.0284539
14.19	-0.0497132
14.2	-0.020468
14.21	-0.0595159
14.22	-0.0428399
14.23	-0.042468
14.24	-0.0417319
14.25	0.010437
